object	
orth	Hémagogues
orth	Hémalopie
orth	Hemanthe
orth	Hémastatique
orth	Hématémèse
orth	Hématite
orth	Hématocèle
orth	Hématographie
orth	Hématologie
orth	Hématomphale
orth	Hématomphalocèle
orth	Hématose
orth	Hématurie
orth	Héméralopie
pb	161
orth	Hémérobe
orth	Hémérocalle
orth	Hémicranie
orth	Hémicycle
orth	Hémine
orth	Hémionite
orth	Hémiplégie
orth	Hémiplexie
orth	Hémiptère
orth	Hémisphère
orth	Hémisphéroïde
orth	Hémitritée
orth	Hémophœie
orth	Hémoptique
orth	Hémoptyique
orth	Hémoptysie
orth	Hémoptysique
orth	Hémorragie
orth	Hémorrhagie
orth	Hémorroïdal
orth	Hémorroïdes
orth	Hémorroscopie
orth	Hémorrous
pb	162
orth	Hémostase
orth	Hémostasie
orth	Hémostatique
orth	Hendécagone
orth	Hépar
orth	Hépatalgie
orth	Hépatico-gastrique
orth	Hépatique
orth	Hépatite
orth	Hépatocèle
orth	Hépatocystique
orth	Hépatographie
orth	Hépatologie
orth	Hépatomphale
orth	Hépatotomie
orth	Heptagone
orth	Heptagynie
orth	Heptandrie
orth	Heptangulaire
orth	Heptapétalée
orth	Heptaphylle
orth	Herbe
orth	Herbier
pb	163
orth	Herbivore
orth	Herborisation
orth	Herboriste
orth	Hérissé
orth	Hérissonné
orth	Hermaphrodite
orth	Hermétique
orth	Hermétiquement
orth	Herniaire
orth	Hernie
orth	Hernieux
orth	Herpe
orth	Hespéries
orth	Hétérogène
orth	Hétérogénéité
orth	Hétérophylle
orth	Hétéroptères
orth	Hétérosciens
orth	Hétérotome
orth	Hétisie
orth	Hexadactyle
orth	Hexaèdre
orth	Hexagone
orth	Hexagynie
orth	Hexandrie
pb	164
orth	Hexapétalé
orth	Hexaphylle
orth	Hexapode
orth	Hexaptère
orth	Hiatus
orth	Hibride
orth	Hidrogène
orth	Hidrotique
orth	Hiène
orth	Hiéracite
orth	Hiéracium
orth	Hiéroglyphe
orth	Hile
orth	Himantope
orth	Hippélaphe
orth	Hippiatrique
orth	Hippobosque
orth	Hippocampe
orth	Hippocrate
orth	Hippolithe
orth	Hippomane
pb	165
orth	Hippopotame
orth	Hippotomie
orth	Hippus
orth	Hirsute
orth	Hispide
orth	Hispidité
orth	Histoire naturelle
orth	Hivernal
orth	Holomètre
orth	Holostéon
orth	Holothurie
orth	Homiose
orth	Homme
orth	Homocentrique
orth	Homocule
orth	Homogène
orth	Homologue
pb	166
orth	Homomalle
orth	Homonymie
orth	Homophage
orth	Homotone
orth	Honteux
orth	Hoquet
orth	Horizon
orth	Horoptère
orth	Horoscope
orth	Horripilation
orth	Houille
orth	Houppe
orth	Huile
pb	167
orth	Huître
orth	Humectans
orth	Humectation
orth	Humérus
orth	Humeur
orth	Humide
orth	Humide radical
orth	Humifuse
orth	Humoral
orth	Humoriste
orth	Hyacinthe
pb	168
orth	Hyaloïde
orth	Hyberbole
orth	Hybride
orth	Hydatide
orth	Hydatisme
orth	Hydatoïde
orth	Hydragogue
orth	Hydrargyre
orth	Hydrargyrose
orth	Hydrate
orth	Hydraulico-pneumatique
orth	Hydraulique
orth	Hydréléon
orth	Hydrentérocèle
orth	Hydres
pb	169
orth	Hydrocardie
orth	Hydrocèle
orth	Hydrocéphale
orth	Hydrocorées
orth	Hydrocotyle
orth	Hydrodynamique
orth	Hydro-entérocèle
orth	Hydro-entéromphale
orth	Hydro-épiplomphale
orth	Hydrogale
orth	Hydrogène
orth	Hydrographie
orth	Hydrologie
orth	Hydromel
orth	Hydromètre
orth	Hydromêtre
orth	Hydromphale
orth	Hydro-péricarde
pb	170
orth	Hydrophane
orth	Hydrophides
orth	Hydrophile
orth	Hydrophobie
orth	Hydrophthalmie
orth	Hydrophysocèle
orth	Hydropisie
orth	Hydropneumatique
orth	Hydropneumatocèle
orth	Hydropneumosarque
orth	Hydropoïde
orth	Hydropote
orth	Hydropyrique
orth	Hydrorachitis
orth	Hydrorrhodin
orth	Hydrosaccharum
orth	Hydrosarcocèle
orth	Hydrosarque
orth	Hydrostatique
orth	Hydrothorax
pb	171
orth	Hydrotique
orth	Hydrure
orth	Hyène
orth	Hygiène
orth	Hygroblépharique
orth	Hygrocirsocèle
orth	Hygrologie
orth	Hygromètre
orth	Hygrophobie
orth	Hygrophthalmique
orth	Hygroscope
orth	Hylarchique
orth	Hymen
orth	Hyménode
orth	Hyménographie
pb	172
orth	Hyménologie
orth	Hymènoptères
orth	Hyménotomie
orth	Hyo-épiglottique
orth	Hyoglosse
orth	Hyoïde
orth	Hyopharyngien
orth	Hyoscuame
orth	Hyothyroïdien
orth	Hypcspadias
orth	Hyperbolique
orth	Hyperboloïde
orth	Hyperborée
orth	Hyperboréen
orth	Hypercatharse
orth	Hypercrise
orth	Hypercrisie
pb	173
orth	Hypérésie
orth	Hypérostose
orth	Hypersarcose
orth	Hypertonie
orth	Hypnobate
orth	Hypnologie
orth	Hypnotique
orth	Hypocatharse
orth	Hypocauste
orth	Hypochyma
orth	Hypociste
orth	Hypocondre
orth	Hypocondrie
orth	Hypocrane
orth	Hypocratériforme
orth	Hypogastre
orth	Hypogastrocèle
orth	Hypoglosses
orth	Hypogyne
orth	Hypogynique
pb	174
orth	Hypomochlion
orth	Hypophasie
orth	Hypophore
orth	Hypophthalmie
orth	Hypopyon
orth	Hypospathisme
orth	Hypostase
orth	Hypothénar
orth	Hypothénuse
orth	Hypsiloglosse
orth	Hypsiloïde
orth	Hysope
orth	Hyssope
orth	Hystéralgie
orth	Hystérie
pb	175
orth	Hystérique
orth	Hystérite
orth	Hystérocèle
orth	Hystérotomie
orth	Hystérotomotocie
orth	Iatralepte
orth	Iatraleptique
orth	Iatrique
orth	Iatrochimie
orth	Iatrophysique
orth	Ichneumon
orth	Ichor
orth	Ichoroïde
orth	Ichtyite
orth	Ichtyocolle
orth	Ichtyolithe
pb	176
orth	Ichtyologie
orth	Ichtyopètre
orth	Ichtyophage
orth	Ichtyte
orth	Iconographie
orth	Iconologie
orth	Icosaèdre
orth	Icosandrie
orth	Ictère
orth	Ictéricie
orth	Idée
orth	Idéologie
orth	Idiocrase
orth	Idio-électrique
orth	Idiopathique
orth	Idiosyncrase
orth	Idiosyncrasie
orth	Idiotisme
orth	Idocrase
orth	Igné
orth	Ignition
orth	Ignivore
pb	177
orth	Iléo-colique
orth	Iléon
orth	Iles
orth	Iléus
orth	Iliaque
orth	Ilion
orth	Illégitime
orth	Illutation
orth	Image
orth	Imagination
pb	178
orth	Imberbe
orth	Imbibition
orth	Imbriqué
orth	Immersion
orth	Impair
orth	Impalpable
orth	Imparfait
orth	Impastation
orth	Impénétrabilité
orth	Imperforation
orth	Impéritie
orth	Imperméabilité
orth	Implanter
orth	Imprégnation
orth	Impuissance
orth	Impulsion
orth	Inalbuminé
orth	Inangulé
orth	Inanimé
orth	Inanition
orth	Inappétence
pb	179
orth	Incalicé
orth	Incane
orth	Incarnatif
orth	Incarnatifs
orth	Incération
orth	Incidence
orth	Incinération
orth	Incisé
orth	Incisif
orth	Incitabilité
orth	Inclémence
orth	Inclinaison
orth	Inclination
orth	Inclus
orth	Incœrcible
orth	Incombant
orth	Incombustible
orth	Incommensurable
orth	Incontinence
pb	180
orth	Incorporation
orth	Incourbe
orth	Incrassant
orth	Incrustation
orth	Incubation
orth	Incube
orth	Incurable
orth	Incurvation
orth	Indéhiscent
orth	Indélébile
orth	Indenté
orth	Index
orth	Indication
pb	181
orth	Indigène
orth	Indigeste
orth	Indigestion
orth	Indigo
orth	Indiquant
orth	Indiqué
orth	Individu
orth	Indolence
orth	Inéquilatère
orth	Inéquivalvé
orth	Inerme
orth	Inerte
orth	Inertie
orth	Infanticide
orth	Infécond
orth	Infection
orth	Infère
orth	Infeuillé
orth	Infibulation
orth	Infiltration
pb	182
orth	Infinitésimal
orth	Infirme
orth	Inflammabilité
orth	Inflammation
orth	Inflammatoire
orth	Inflation
orth	Infléchi
orth	Inflorescence
orth	Influence
orth	Infundibulé
orth	Infundibuliforme
orth	Infusion
orth	Ingrédient
orth	Inguinal
orth	Inhérent
orth	Inhumation
pb	183
orth	Injection
orth	Inné
orth	Innominé
orth	Inoculation
orth	Inondé
orth	Inopiné
orth	Inosculation
orth	Inquart
orth	Inquiétude
orth	Insecte
orth	Insectologie
orth	Insensible
orth	Insertion
orth	Insexée
orth	Insipide
orth	Insolation
orth	Insoluble
orth	Insomnie
orth	Inspiration
orth	Inspirer
pb	184
orth	Instantané
orth	Instinct
orth	Instipulé
orth	Insufflation
orth	Intact
orth	Intactile
orth	Intégral
orth	Intégrant
orth	Intellect
orth	Intempérance
orth	Intempérie
orth	Intense
orth	Intension
orth	Intensité
orth	Inter-articulaire
orth	Intercadant
orth	Intercalaire
orth	Interclaviculaire
orth	Intercostal
orth	Intercurrent
orth	Inter-épineux
pb	185
orth	Interlobulaire
orth	Intermède
orth	Intermission
orth	Intermittence
orth	Intermittent
orth	Intermusculaire
orth	Interne
orth	Inter-osseux
orth	Interrompu
orth	Intersection
orth	Interstellaire
orth	Interstice
orth	Intertransversaire
orth	Intervalvaire
orth	Intervertébral
orth	Intestin
pb	186
orth	Intestinal
orth	Intigé
orth	Intorsion
orth	Intromission
orth	Intumescence
orth	Intus-susception
orth	Inverse
orth	Invertébré
orth	Involucelle
orth	Involucre
orth	Involucré
orth	Involuté
orth	Invulnérable
orth	Ipécacuanha
orth	Iridium
orth	Iris
orth	Irradiation
orth	Irréductible
pb	187
orth	Irritabilité
orth	Isagone
orth	Ischiadique
orth	Ischiatique
orth	Ischio-caverneux
orth	Ischio-coccygien
orth	Ischion
orth	Ischio-pectiné
orth	Ischurétique
orth	Ischurie
orth	Isocèle
orth	Isochrone
orth	Isomérie
orth	Isopérimètre
orth	Isoscèle
orth	Isthme
orth	Ityphale
orth	Ivoire
orth	Jabot
pb	188
orth	Jaculatoire
orth	Jade
orth	Jadien
orth	Jais
orth	Jalap
orth	Jambe
orth	Jambier
orth	Jarret
orth	Jaspe
orth	Jaspé
orth	Jaunisse
orth	Jayet
orth	Jécoraire
orth	Jectigation
orth	Jéjunum
pb	189
orth	Jointure
orth	Joue
orth	Jours de médecine
orth	Jugement
orth	Jugulaire
orth	Julep
orth	Jumart
orth	Jumeau
orth	Jupiter
orth	Jusquiame
orth	Juxtaposition
orth	Kératoglosse
orth	Kératophylle
orth	Kératophyllon
orth	Kermès
orth	Kiastre
orth	Kiliogone
orth	Kilogramme
pb	190
orth	Kilolitre
orth	Kilomètre
orth	Kynancie
orth	Kyste
orth	Kystéotomie
orth	Kystiotomie
orth	Kystitome
orth	Labial
orth	Labié
orth	Laboratoire
orth	Labyrinthe
orth	Lacinié
orth	Lacis
orth	Lacq
orth	Lacrymal
orth	Lactate
orth	Lacté
orth	Lactifère
orth	Lactiphage
orth	Lacune
orth	Lacustral
orth	Ladanum
pb	191
orth	Ladre
orth	Ladrerie
orth	Lagomys
orth	Lagope
orth	Lagophthalmie
orth	Lagopus
orth	Laine
orth	Lait
orth	Laiteux
orth	Lambdoïde
orth	Lame
orth	Lamellé
orth	Lamelleux
orth	Lampyre
orth	Lancéolé
orth	Lancette
orth	Langue
orth	Langueur
pb	192
orth	Lanifère
orth	Lanugineux
orth	Laq
orth	Laque
orth	Larme
orth	Larmoiement
orth	Larve
orth	Laryngé
orth	Laryngien
orth	Laryngographie
orth	Laryngologie
orth	Laryngotomie
orth	Larynx
orth	Latipostre
orth	Latitude
orth	Lavage
pb	193
orth	Lavement
orth	Laxatif
orth	Laxité
orth	Lazulithe
orth	Légume
orth	Légumineux
orth	Lemme
orth	Lénitif
orth	Lenticulaire
orth	Lenticulé
orth	Lentille
orth	Léontiasis
orth	Leontopétalon
orth	Léopard
orth	Lépadogastère
orth	Lepas
orth	Lépidoïde
orth	Lépidoptères
orth	Lépidosarcome
orth	Lèpre
pb	194
orth	Lépreux
orth	Léproserie
orth	Lessive
orth	Léthargie
orth	Léthargique
orth	Leucé
orth	Leucite
orth	Leucoflegmatie
orth	Leucolithe
orth	Leucome
orth	Leuco-phlegmatie
orth	Leucorrhée
pb	195
orth	Levain
orth	Levier
orth	Lévigation
orth	Lévirostre
orth	Lèvres
orth	Lexicon
orth	Libanotis
orth	Liber
orth	Libidineux
orth	Lichen
orth	Lie
orth	Lientérie
orth	Ligament
orth	Ligamenteux
orth	Ligature
pb	196
orth	Ligne
orth	Ligneux
orth	Lignite
orth	Lignivore
orth	Lignuode
orth	Liliacées
orth	Lilium
orth	Limaçon
orth	Limanchie
orth	Limbe
orth	Limoctomie
orth	Limon
orth	Limoneux
orth	Limpide
orth	Lin
orth	Lingual
orth	Liniment
pb	197
orth	Lion
orth	Liparocèle
orth	Lipome
orth	Lipopsychie
orth	Lipothymie
orth	Lippitude
orth	Lipyrie
orth	Liquation
orth	Liquéfaction
orth	Liqueur
orth	Liquide
orth	Lithagogue
orth	Litharge
orth	Lithiasie
orth	Lithiasis
orth	Lithiate
orth	Lithique
orth	Lithographie
orth	Litholabe
orth	Lithologie
orth	Lithontriptique
pb	198
orth	Lithophage
orth	Lithophyte
orth	Lithotome
orth	Lithotomie
orth	Litre
orth	Livre
orth	Livret
orth	Lixiviation
orth	Lixiviel
orth	Lixivieux
orth	Lobe
orth	Lobé
orth	Lobule
orth	Lochies
orth	Locomotion
orth	Logarithme
orth	Logique
orth	Logographie
pb	199
orth	Logomachie
orth	Lok
orth	Lombaire
orth	Lombes
orth	Lombric
orth	Lombrical
orth	Lonchite
orth	Longimétrie
orth	Longirostre
orth	Longitude
orth	Look
orth	Lordose
orth	Losange
orth	Lotion
orth	Lotissage
orth	Louche
orth	Loup
orth	Loupe
orth	Lozange
pb	200
orth	Lubricité
orth	Lubrifier
orth	Lucide
orth	Luette
orth	Lumbago
orth	Lumière
orth	Lunaire
orth	Lunatique
orth	Lune
orth	Lut
orth	Lutation
orth	Luxation
orth	Lycanthropie
orth	Lycée
pb	201
orth	Lychnis
orth	Lycopode
orth	Lymexilon
orth	Lymphe
orth	Lyngode
orth	Lynx
orth	Lyre
orth	Lyrée
orth	Lysimachie
orth	Macération
orth	Machinal
orth	Machine
orth	Mâchoire
orth	Macrocéphale
pb	202
orth	Macrocosme
orth	Macrolépidote
orth	Macrophysocéphale
orth	Madarose
orth	Madéfaction
orth	Madépores
orth	Magdaléon
orth	Magie
orth	Magistère
orth	Magistral
orth	Magma
orth	Magnésie
orth	Magnétique
orth	Magnétisme
pb	203
orth	Main
orth	Mal
orth	Malachies
orth	Malachite
orth	Malacie
orth	Malacoderme
orth	Malacoïde
orth	Malactique
orth	Maladie
orth	Maladif
pb	204
orth	Maladrerie
orth	Malagma
orth	Malandre
orth	Malate
orth	Malaxer
orth	Malignité
orth	Malléabilité
orth	Malléole
orth	Malt
orth	Malvacées
orth	Mamanpian
orth	Mamelle
orth	Mamelon
orth	Mamelonné
orth	Mamillaire
orth	Mammaire
orth	Mammifère
pb	205
orth	Mammiforme
orth	Manche
orth	Mandibule
orth	Manducation
orth	Manganèse
orth	Maniacal
orth	Maniaque
orth	Manie
orth	Manioc
orth	Manipulation
orth	Manipule
orth	Manne
orth	Mannequin
orth	Manœuvre
orth	Manomètre
orth	Manoscope
pb	206
orth	Marasme
orth	Marbre
orth	Marc
orth	Marcassite
orth	Marcotte
orth	Marginal
orth	Marginé
orth	Marisque
orth	Marmelade
orth	Marne
orth	Mars
orth	Masse
orth	Masseter
orth	Massetérique
orth	Massicot
orth	Mastic
orth	Mastication
orth	Masticatoire
orth	Mastoïde
pb	207
orth	Mastupration
orth	Mat
orth	Mathématiques
orth	Matière
orth	Matière médicale
orth	Matière tomelleuse
orth	Matras
orth	Matrice
orth	Matrone
orth	Maturatif
orth	Maturation
orth	Maxillaire
orth	Méat
orth	Mécanique
orth	Mécanisme
orth	Méconite
pb	208
orth	Méconium
orth	Médecin
orth	Médecine
orth	Médian
orth	Médiastin
orth	Médical
orth	Médicament
orth	Médicamentaire
orth	Médicamenteux
orth	Médication
orth	Médicinal
orth	Médimne
orth	Médullaire
orth	Méduses
pb	209
orth	Mélanagogue
orth	Mélancolie
orth	Mélancolique
orth	Mélandre
orth	Mélas
orth	Mélianthe
orth	Mélicéris
orth	Mélilot
orth	Mélisse
orth	Mellite
orth	Mélocacte
orth	Mélodie
orth	Mélœna
orth	Membrane
pb	210
pb	211
orth	Membres
orth	Mémoire
orth	Ménagogue
orth	Ménianthe
orth	Méninge
orth	Méninges
orth	Méningo-gastrique
pb	212
orth	Méningophylax
orth	Ménisque
orth	Ménorrhagie
orth	Menstruation
orth	Menstrue
orth	Menstruel
orth	Menstrues
orth	Menthe
orth	Menton
orth	Méphitique
pb	213
orth	Mercure
orth	Mercuriel
orth	Mère
orth	Méridien
orth	Méridienne
orth	Mérocèle
orth	Mésaraïque
orth	Mesclérie
orth	Mésentère
orth	Mésentérique
orth	Mésentéritis
orth	Mésochondriaque
orth	Mésocolon
orth	Mésolabe
orth	Mésorectum
pb	214
orth	Mésothénar
orth	Métacarpe
orth	Métacarpien
orth	Métachorèse
orth	Métal
orth	Métallographie
orth	Métallurgie
orth	Métamorphose
orth	Métaphysique
orth	Métaptose
orth	Métastase
pb	215
orth	Métasyncrise
orth	Métatarse
orth	Métathèse
orth	Métemptose
orth	Météore
orth	Météorisme
orth	Météorographe
orth	Météorologie
orth	Méthode
orth	Métoposcopie
pb	216
orth	Mètre
orth	Métrenchyte
orth	Métriopathie
orth	Métrite
orth	Métrorrhagie
orth	Meulière
orth	Meurtrissure
orth	Miasme
orth	Miasmes
orth	Mica
orth	Microcosme
orth	Microcoustique
orth	Micrographie
orth	Microlépidore
pb	217
orth	Micromètre
orth	Microphone
orth	Microscome
orth	Microscope
orth	Miel
orth	Migraine
orth	Miliaire
orth	Milieu
orth	Millepores
orth	Millet
orth	Milligramme
orth	Millimètre
orth	Milphose
orth	Miltose
orth	Mine
orth	Minéral
orth	Minéralogie
orth	Minéraux
orth	Minium
orth	Minoratif
pb	218
orth	Misanthropie
orth	Miséréré
orth	Misogame
orth	Mithridate
orth	Mitral
orth	Mitte
orth	Mixte
orth	Mixtion
orth	Mixture
orth	Mobile
orth	Mœlle
orth	Mofette
orth	Mois
orth	Moiteur
orth	Molaire
orth	Mole
orth	Molécule
orth	Mollet
orth	Mollusques
orth	Molybdate
orth	Molybdène
pb	219
orth	Molybdique
orth	Molybdite
orth	Monade
orth	Monadelphie
orth	Monandrie
orth	Monder
orth	Mondificatif
orth	Mondifier
orth	Monocle
orth	Monocotylédones
orth	Monocule
orth	Monœcie
orth	Monogamie
orth	Monogastrique
orth	Monogynie
orth	Monoïque
orth	Monôme
orth	Monopétale
orth	Monophthalme
orth	Monophylle
orth	Monospermatique
orth	Monstre
orth	Monstruosité
pb	220
orth	Mont-de-vénus
orth	Morbifique
orth	Mordacité
orth	Mordant
orth	Mordéhi
orth	Mordexin
orth	Morsure
orth	Mort
orth	Mortier
orth	Mortification
orth	Morve
orth	Morxi
orth	Moteur
orth	Motilité
orth	Moucheture
orth	Moufette
orth	Moufle
orth	Mouvement
orth	Moxa
orth	Mucilage
orth	Mucilagineux
orth	Mucosité
pb	221
orth	Mucroné
orth	Mucus
orth	Muguet
orth	Mules
orth	Multicapsulaire
orth	Multicaule
orth	Multifide
orth	Multiflore
orth	Multiforme
orth	Multilobé
orth	Multiloculaire
orth	Multiparti
orth	Multiple
orth	Multiplication
orth	Multisiliqueux
orth	Multivalve
orth	Muqueux
orth	Murène
orth	Muriate
orth	Muriatique
orth	Muriatique oxygéné
pb	222
orth	Musc
orth	Muscle
orth	Musculaire
orth	Musculeux
orth	Mutilation
orth	Mutique
orth	Myagrum
orth	Mydriase
orth	Myléène
orth	Myloglosse
orth	Mylohyoïdien
orth	Mylopharyngien
orth	Myocéphale
orth	Myographie
orth	Myologie
orth	Myopie
orth	Myosotis
orth	Myotilité
orth	Myotomie
orth	Myriagramme
orth	Myrialitre
orth	Myriamètre
pb	223
orth	Myriare
orth	Myrmécie
orth	Myrmécite
orth	Myrmécoléon
orth	Myrmécophage
orth	Myrobolan
orth	Myrrhe
orth	Myrte
orth	Myrtiforme
orth	Myrtilithe
orth	Mytilithe
orth	Myure
orth	Nain
orth	Napacée
orth	Naphte
orth	Napiforme
orth	Narcisse
orth	Narcotique
orth	Narcotisme
orth	Narine
orth	Nasal
orth	Nates
pb	224
orth	Natron
orth	Nature
orth	Naturel
orth	Naucores
orth	Nausée
orth	Nautile
orth	Naviculaire
orth	Nécrologe
orth	Nécromancie
orth	Nécrophobie
orth	Nécrophore
orth	Nécrose
orth	Nectaire
pb	225
orth	Nectopodes
orth	Népenthe
orth	Néphélion
orth	Néphralgie
orth	Néphrétique
orth	Néphritique
orth	Néphritis
orth	Néphrographie
orth	Néphrologie
orth	Néphrotomie
orth	Néréides
orth	Nerf
pb	226
orth	Nérites
orth	Nerveux
orth	Nervin
orth	Nervures
orth	Neutre
orth	Névritique
orth	Névrographie
orth	Névrologie
orth	Névroptère
orth	Névrose
orth	Névrotique
orth	Nevrotomie
orth	Newtonianisme
orth	Nez
orth	Niccolaum
orth	Nickel
orth	Nidoreux
pb	227
orth	Nitrate
orth	Nitre
orth	Nitreux
orth	Nitrique
orth	Nitrite
orth	Nitro-muriatique
orth	Niveau
orth	Nobles
orth	Noctambule
orth	Noctiluque
orth	Noctuelles
orth	Nocturlabe
pb	228
orth	Nodus
orth	Nœud
orth	Noix
orth	Noli-me-tangere
orth	Nomade
orth	Nombril
orth	Nomenclature
orth	Nosographie
orth	Nosologie
orth	Nostalgie
orth	Nostomanie
orth	Notonectes
orth	Notoptère
orth	Noué
orth	Nouet
orth	Noueure
orth	Noueux
orth	Nourricier
orth	Nourriture
orth	Noyau
orth	Nuage
pb	229
orth	Nubécule
orth	Nuque
orth	Nutation
orth	Nutrition
orth	Nyctalopie
orth	Nyctériens
orth	Nymphe
orth	Nymphomanie
orth	Nymphotomie
orth	Obclavé
pb	230
orth	Obconique
orth	Obcordé
orth	Obésité
orth	Oblique
orth	Oblong
orth	Obole
orth	Oboval
orth	Obové
orth	Obstruction
orth	Obtondans
orth	Obturateur
orth	Obturation
orth	Obtus
orth	Obtusangle
orth	Obtusangulé
orth	Obvoluté
orth	Occasion
orth	Occipital
orth	Occiput
orth	Occulte
orth	Ochre
orth	Ocre
orth	Octaèdre
orth	Octandrie
orth	Octogone
orth	Octogynie
orth	Octopétalé
pb	231
orth	Octophylle
orth	Oculiste
orth	Odontagre
orth	Odontalgie
orth	Odontalgique
orth	Odontoïde
orth	Odontologie
orth	Odontopètres
orth	Odontophie
orth	Odontotechnie
orth	Odorat
orth	Œconomie
orth	Œdémateux
orth	Œdématie
orth	Œdème
orth	Œdémosarque
orth	Œil
orth	Œillères
orth	Œnanthe
orth	Œnéléum
orth	Œsophage
pb	232
orth	Œsophagien
orth	Œsophagotomie
orth	Œstre
orth	Œstromanie
orth	Œtites
orth	Œuf
orth	Officinal
orth	Oignon
orth	Oisanite
orth	Oléagineux
orth	Olécrane
orth	Oléo-saccharum
orth	Oléracé
orth	Olfactif
orth	Oliban
orth	Oligophylle
orth	Oligosperme
pb	233
orth	Oligothropie
orth	Olivaire
orth	Omagre
orth	Omasum
orth	Omasus
orth	Ombelle
orth	Ombellifère
orth	Ombilic
orth	Ombilical
orth	Ombromètre
orth	Omoclaviculaire
orth	Omocotyle
orth	Omoplates
orth	Omphalocèle
orth	Omphalomancie
orth	Omphaloptre
orth	Once
orth	Oncotomie
orth	Onction
pb	234
orth	Ondé
orth	Ondulation
orth	Ondulé
orth	Onduleux
orth	Onéirodynie
orth	Ongle
orth	Onglée
orth	Onglet
orth	Onguent
orth	Onocrotale
orth	Ononis
orth	Oolithe
orth	Opale
orth	Opaque
orth	Opération
orth	Opercule
orth	Ophiase
orth	Ophidiens
pb	235
orth	Ophioglosse
orth	Ophiologie
orth	Ophthalmie
orth	Ophthalmique
orth	Ophthalmographie
orth	Ophthalmologie
orth	Ophthalmoscopie
orth	Ophthalmostase
orth	Ophthalmotomie
orth	Ophthalmoxystre
orth	Opiat
orth	Opilation
orth	Opisthotonos
orth	Opisto-gastrique
orth	Opium
pb	236
orth	Opobalsamum
orth	Opopanax
orth	Opposé
orth	Oppression
orth	Opsigone
orth	Opsomane
orth	Optique
orth	Or
orth	Orbiculaire
orth	Orbiculé
orth	Orbitaire
pb	237
orth	Orbite
orth	Orchestique
orth	Orchis
orth	Orchotomie
orth	Ordinaires
orth	Ordre
orth	Oreille
orth	Oreillé
orth	Oreillette
orth	Oreillons
orth	Organe
orth	Organique
orth	Organisme
orth	Orgasme
orth	Orgelet
orth	Orgeolet
orth	Orgueilleux
pb	238
orth	Orifice
orth	Origan
orth	Orillons
orth	Ornithies
orth	Ornithogala
orth	Ornitholithes
orth	Ornithologie
orth	Ornithotropie
orth	Orobanche
orth	Orobe
orth	Orpiment
orth	Orseille
orth	Orteil
orth	Orthocératite
orth	Orthogonal
orth	Orthopédie
orth	Orthopnée
orth	Orthoptères
orth	Orthorynques
pb	239
orth	Ortiée
orth	Oryctographie
orth	Oryctologie
orth	Os
orth	Oschéocèle
orth	Oscillation
orth	Osmium
orth	Osselet
orth	Osseux
orth	Ossification
orth	Ostéocolle
orth	Ostéocope
orth	Ostéodermes
orth	Ostéogénésie
orth	Ostéogénie
orth	Ostéographie
pb	240
orth	Ostéolithes
orth	Ostéologie
orth	Ostéotomie
orth	Ostracé
orth	Ostracions
orth	Ostracite
orth	Ostracoderme
orth	Otacoustique
orth	Otalgie
orth	Otenchyte
orth	Otographie
orth	Otologie
orth	Ototomie
orth	Ouïe
orth	Ouraque
orth	Ourlet
orth	Ouronologie
orth	Oursiné
orth	Oursins
orth	Ovaire
pb	241
orth	Ovale
orth	Ové
orth	Ovipare
orth	Ovule
orth	Oxalate
orth	Oxaleux
orth	Oxalique
orth	Oxycrat
orth	Oxydation
orth	Oxyde
orth	Oxydule
orth	Oxygène
orth	Oxygone
orth	Oxymel
orth	Oxyregmie
pb	242
orth	Oxyrrhodin
orth	Oxysaccharum
orth	Ozène
orth	Pachydermes
orth	Paillette
orth	Pain-de-pourceau
orth	Palais
orth	Palatin
orth	Palato-pharyngien
orth	Palato-staphylin
orth	Paléacé
orth	Pales-couleurs
orth	Palestre
orth	Palestrique
orth	Palindromie
orth	Palingénésie
orth	Palladium
orth	Palliation
pb	243
orth	Palmaire
orth	Palmé
orth	Palmipèdes
orth	Palpitation
orth	Pampiniforme
orth	Panacée
orth	Panaché
orth	Panachure
orth	Panaris
orth	Panchreste
orth	Panchymagogue
orth	Pancrace
orth	Pancréas
pb	244
orth	Pandémie
orth	Pandiculation
orth	Panduré
orth	Panduriforme
orth	Panicule
orth	Paniculé
orth	Panique
orth	Pannicule
orth	Pannus
orth	Panophobie
orth	Pansement
orth	Pantagogue
orth	Panthère
orth	Papier
orth	Papilionacée
orth	Papillaire
orth	Papille
orth	Papules
orth	Papyer
orth	Papyracé
orth	Papyrus
pb	245
orth	Parabolain
orth	Parabole
orth	Paraboloïde
orth	Paracentèse
orth	Paracenthèse
orth	Paracentrique
orth	Paracynancie
orth	Parafrénésie
orth	Parallactique
orth	Parallaxe
orth	Parallèle
orth	Parallèles
orth	Parallélipipède
orth	Parallélisme
orth	Parallélogramme
orth	Paralysie
orth	Paralytique
pb	246
orth	Paramètre
orth	Paranymphe
orth	Paraphimosis
orth	Paraphrénésie
orth	Paraphrosine
orth	Paraplégie
orth	Paraplexie
orth	Parasélène
orth	Parasite
orth	Parasquinancie
orth	Parastate
orth	Parasynancie
orth	Parathénar
pb	247
orth	Parégorique
orth	Parélie
orth	Parenchyme
orth	Parésie
orth	Paresseux
orth	Parfum
orth	Parhélie
orth	Pariétal
orth	Paroi
orth	Parotide
orth	Paroxysme
orth	Parti
orth	Partible
